171	109	4.573
168	131	3.412
171	150	0
171	171	2.083
169	191	0.997
170	210	6.366
170	230	1.731
169	249	0.17
168	271	2.831
168	290	0.309
190	11	3.485
191	28	2.224
191	48	0.591
190	69	0
190	89	3.26
188	111	3.251
191	129	1.147
189	149	4.816
190	169	3.241
190	189	0.109
188	210	3.329
191	231	1.844
190	248	1.466
189	270	0.92
189	290	0.025
211	11	3.581
209	30	4.733
211	49	3.088
210	70	4.068
209	90	8.121
210	111	3.397
211	130	2.239
208	151	6.735
209	168	1.41
208	191	0.618
210	211	2.583
211	228	5.903
211	250	1.669
208	268	1.252
208	289	0.293
231	10	6.176
231	28	4.259
230	50	2.957
230	71	2.249
229	91	0.317
229	110	3.774
230	131	3.333
228	148	3.51
229	169	0
231	191	1.376
231	208	4.512
229	228	6.395
231	249	1.199
231	268	0.272
230	291	0.021
249	9	1.677
250	30	1.478
249	48	4.427
251	69	4.877
251	91	0
248	109	0.282
249	130	0
248	150	0.183
250	169	2.663
250	190	5.023
251	208	0
251	229	2.409
249	251	2.344
248	270	0.224
250	291	0.456
40	71	0.762
21	69	2.843
28	80	6.068
29	59	7.727
41	81	2.695
18	80	10.367
39	60	2.386
18	60	5.194
41	90	4.149
21	90	6.014
31	101	5.792
41	100	6.014
21	100	5.946
60	8	5.501
40	11	0.994
51	18	2.336
59	20	0.144
41	21	1.159
59	90	5.062
51	101	5.024
50	81	6.08
59	101	3.639
60	81	3.856
60	151	15.211
38	148	3.409
50	160	8.791
50	138	4.134
61	158	8.689
39	160	6.574
61	139	4.77
38	140	2.685
61	170	8.064
39	170	9.144
49	179	8.115
58	179	11.136
39	181	10.08
60	191	15.281
40	190	9.709
51	198	11.09
60	198	12.039
40	200	6.413
58	208	7.206
38	209	6.653
50	221	5.433
61	220	1.011
39	221	6.159
59	268	5.431
41	271	8.688
49	278	5.83
51	260	6.707
59	281	1.488
39	279	7.98
59	258	1.949
38	260	6.352
78	28	7.816
60	29	2.386
70	41	4.72
70	21	0.581
78	41	6.003
61	41	0.649
78	20	5.059
80	131	8.016
58	128	1.588
71	140	6.063
70	121	0.307
79	138	7.301
80	119	4.212
61	121	1.048
79	149	0.441
71	160	8.011
78	159	7.42
80	168	6.891
69	181	4.246
79	181	1.843
80	188	2.452
70	198	6.3
81	200	0
100	48	0.487
80	49	7.574
90	58	7.398
88	39	5.207
100	60	0
80	59	0
101	38	7.305
101	68	3.831
79	70	5.088
90	79	5.733
100	78	3.724
81	81	5.858
100	91	3.972
80	89	6.145
91	99	7.349
101	100	5.993
81	98	1.812
98	111	7.448
81	108	10.223
90	120	8.993
100	118	3.637
98	130	5.132
90	140	6.488
90	138	6.454
121	131	0.13
111	140	1.903
108	121	8.93
120	141	1.047
119	118	1.504
158	228	5.584
140	229	5.58
150	241	3.185
151	218	3.943
161	241	1.419
141	240	1.125
160	218	5.804
139	220	5.359
178	211	3.982
159	209	5.173
169	221	4.272
170	198	3.676
180	218	3.747
178	201	1.448
158	198	1.698
219	88	2.351
198	90	6.117
211	100	7.464
208	80	4.366
221	99	5.409
199	98	8.01
220	81	2.721
198	78	2.041
220	150	5.439
200	150	6.062
208	159	3.56
210	140	4.409
221	160	3.018
198	161	3.694
219	139	1.668
200	139	2.309
239	8	2.403
218	8	7.371
229	19	5.186
239	18	3.907
218	18	7.974
238	229	6.026
218	228	4.308
231	239	3.541
230	221	6.024
240	239	1.726
221	241	3.248
239	220	4.201
218	218	7.635
35	71	6.878
24	71	7.358
34	88	0.869
23	91	8.17
54	10	6.379
46	11	5.123
55	89	4.234
45	89	5.696
53	150	8.58
46	148	2.34
55	168	8.76
43	170	10.828
55	191	13.926
44	191	6.466
55	211	8.895
46	211	5.092
54	269	6.131
43	271	7.678
73	29	6.494
64	31	2.354
75	129	7.828
64	129	2.273
73	149	7.229
64	151	9.745
75	171	5.122
63	168	12.158
73	188	6.871
64	191	12.599
93	48	6.875
86	48	4.719
93	70	5.121
84	69	9.639
93	90	8.74
86	89	5.824
96	111	5.532
85	108	9.373
93	131	8.836
86	131	8.799
114	131	2.684
106	130	6.515
155	229	3.864
145	230	3.332
174	208	3.392
166	211	6.003
215	89	5.952
205	89	8.096
215	148	2.933
204	151	6.973
236	9	5.159
223	9	6.132
236	229	6.653
226	230	8.136
35	80	1.748
24	79	8.918
36	61	6.996
26	58	0.395
16	80	9.156
43	60	5.84
15	88	6.1
46	99	5.668
36	99	0.381
54	80	4.83
46	81	5.426
54	161	9.593
43	161	6.319
65	160	9.283
33	160	4.31
36	170	6.723
53	179	10.034
44	180	8.764
65	181	7.341
34	180	3.66
33	191	2.965
55	199	10.692
46	198	8.043
63	201	7.311
34	201	3.181
65	210	2.386
35	208	4.289
46	220	7.344
36	219	4.291
35	217	5.974
53	258	4.426
46	260	7.652
45	281	6.055
35	278	7.959
35	259	2.35
84	30	5.62
84	41	4.114
75	40	6.967
73	141	7.909
63	140	6.965
84	138	6.873
76	159	5.975
84	161	4.374
86	169	3.174
73	199	4.707
76	51	4.987
94	61	7.787
85	60	5.233
104	38	6.171
93	41	3.955
75	90	5.189
94	101	3.837
85	100	7.041
104	109	5.623
75	110	6.553
95	121	8.236
83	119	8.477
94	140	6.075
103	139	4.912
114	120	3.195
104	118	5.94
196	91	4.335
215	101	2.096
204	101	5.338
196	101	5.924
195	149	4.787
216	11	6.602
225	19	8.322
214	19	2.425
245	231	1.612
233	220	6.26
226	221	8.001
213	218	4.826
